159	568	72494336	1.2644321912299158E11	8.722549203827284E11
187	701	36854016	8.715275404911308E10	6.476671726051462E11
0	1	32891137	6.915898197980757E10	5.38277053232312E11
2163	7018	29300737	5.829940546335704E10	4.695245373652306E11
1603	5673	19129856	5.08539319516257E10	4.209074597379829E11
112	237	18885376	4.535312244768418E10	3.840720882648996E11
91	174	18824704	4.1083274357444336E10	3.548616214292178E11
47	71	18546432	3.765024858632708E10	3.309339104514284E11
2360	7474	17664612	3.481626464639021E10	3.108513319897083E11
628	2686	17580032	3.242825462349561E10	2.936742391602073E11
193	714	17566208	3.0382653259556717E10	2.787581352145038E11
196	721	17509120	2.860656760855493E10	2.656437448951965E11
619	2647	17299366	2.7047019816433044E10	2.539934564217711E11
2321	7377	16859648	2.5664467168456463E10	2.435526136160663E11
2	3	16842752	2.442872462628699E10	2.3412491241016342E11
26	33	16842752	2.3316303577044678E10	2.2555619188878815E11
2092	6878	16842752	2.2308620029067654E10	2.1772342516978165E11
53	80	16777728	2.139075542914453E10	2.1052704300979004E11
8810	17676	14573568	2.0550579422491116E10	2.0388545738250156E11
258	1239	12923136	1.9778115962692696E10	1.9773107518153894E11
1096	4249	12331520	1.9065076858867435E10	1.920073444184773E11
1061	4134	10260736	1.840451291585435E10	1.8666653040197943E11
188	702	9565952	1.7790549190529007E10	1.8166801741165936E11
888	3561	8983360	1.721818141937678E10	1.769769948519016E11
178	680	8871680	1.6683117600810665E10	1.7256342887297733E11
232	1103	8698624	1.6181653365176908E10	1.6840124879368036E11
1284	4766	8496900	1.5710572942475687E10	1.6446769713540915E11
103	209	8095968	1.5267069744901714E10	1.6074280567800464E11
693	2907	8094480	1.4848682137870667E10	1.5720896958781906E11
696	2914	7911168	1.4453241086322592E10	1.5385059859586877E11
209	786	7672832	1.4078827169371607E10	1.5065382924525217E11
1010	3908	7201353	1.3723735047352491E10	1.4760628593895648E11
798	3320	7027200	1.3386443903281681E10	1.4469688128214453E11
360	1668	6995968	1.3065592708661688E10	1.4191564829049844E11
1164	4538	5974528	1.2759959411427902E10	1.3925359861308383E11
270	1267	5885440	1.24684433328846E10	1.3670260212570714E11
675	2856	5396224	1.2190050205875763E10	1.3425528418308192E11
4204	10455	5379072	1.1923879399148117E10	1.3190493754361557E11
786	3301	4810240	1.1669112960886114E10	1.2964544654930423E11
820	3360	4807168	1.1425006183622543E10	1.2747122159207286E11
230	852	4713736	1.1190879447528185E10	1.2537714225446962E11
4493	11003	4624896	1.0966111142737375E10	1.2335850779765137E11
355	1659	4374272	1.0750131506346916E10	1.2141099389876488E11
1250	4713	4369664	1.0542417237913715E10	1.195306147251025E11
54	81	4249344	1.0342486780113386E10	1.1771368958299986E11
583	2548	4073820	1.0149896169816603E10	1.159568135024412E11
2747	8153	3827712	9.964235380054668E9	1.1425683121929257E11
860	3462	3757312	9.785125085851616E9	1.1261081410031308E11
2176	7046	3641856	9.612213797225548E9	1.1101603962501784E11
818	3356	3630848	9.44517531122211E9	1.0946997309577177E11
251	1221	3393248	9.283706441969406E9	1.0797025129533888E11
739	3215	3385344	9.127524993698135E9	1.0651466785119826E11
1507	5515	3272320	8.97636794666564E9	1.0510116009966006E11
3502	9318	3256576	8.82998983012639E9	1.0372779727127022E11
771	3269	3131904	8.688161260042126E9	1.023927698430937E11
973	3786	3089728	8.550667622233656E9	1.0109437992393901E11
1400	5089	3044608	8.417307884233522E9	9.983103255603477E10
881	3549	2986432	8.287893521279423E9	9.860122783158328E10
2216	7132	2931200	8.162247543752609E9	9.740355373539995E10
1068	4151	2833664	8.040203614964367E9	9.62366796358376E10
851	3448	2769920	7.921605249568183E9	9.509935035566385E10
393	1761	2761216	7.806305084060506E9	9.399038076274864E10
1251	4716	2753536	7.694164211856938E9	9.290865082750406E10
140	376	2751488	7.585051576318194E9	9.185310110017982E10
956	3741	2727168	7.478843415870663E9	9.08227285664739E10
553	2497	2708480	7.375422756037023E9	8.981658284459312E10
78	137	2640640	7.27467894377757E9	8.883376269098625E10
816	3352	2581248	7.17650722005424E9	8.787341278555174E10
660	2828	2449920	7.080808326977348E9	8.693472077026553E10
1120	4323	2429440	6.987488146288451E9	8.60169145179403E10
12491	22909	2429184	6.896457366278439E9	8.511925961026283E10
514	2150	2359064	6.807631174544841E9	8.424105700640923E10
1850	6395	2331152	6.7209289742613535E9	8.338164088543997E10
1758	6197	2329344	6.636274121870478E9	8.254037664736429E10
401	1785	2310464	6.55359368432087E9	8.17166590592586E10
1090	4230	2294016	6.472818214158227E9	8.09099105341578E10
503	2119	2232576	6.393881540944469E9	8.011957953161978E10
153	553	2232064	6.316720577628296E9	7.934513906992477E10
584	2551	2207488	6.241275140621792E9	7.858608534081192E10
161	577	2175744	6.167487782455914E9	7.78419364185034E10
157	559	2144512	6.095303635992824E9	7.711223105552202E10
1369	5006	2140675	6.024670269267472E9	7.639652755848712E10
541	2381	2128128	5.95553755011553E9	7.569440273768556E10
1366	4999	2122752	5.887857519820646E9	7.50054509247617E10
788	3303	2118656	5.821584275082428E9	7.43292830533661E10
1807	6327	2018560	5.756673857668033E9	7.366552579804808E10
104	210	1970188	5.693084151165793E9	7.301382076708101E10
143	400	1968896	5.630774784309249E9	7.237382374527206E10
1315	4813	1948928	5.569707040385374E9	7.174520398313976E10
12389	22773	1939712	5.509843772281566E9	7.112764352913976E10
542	2386	1913856	5.451149322763149E9	7.05208366018914E10
864	3479	1908480	5.393589449606828E9	6.992448899960475E10
204	766	1906688	5.337131255245818E9	6.933831754412909E10
1606	5676	1851136	5.281743120610507E9	6.876204955725146E10
778	3292	1758208	5.227394642873336E9	6.819542236705626E10
530	2200	1722624	5.174056576829942E9	6.7638182842328636E10
1806	6325	1707104	5.121700779669278E9	6.7090086953138176E10
1258	4725	1686272	5.07030015890474E9	6.655089935588086E10
1263	4732	1669376	5.019828623255725E9	6.602039300118718E10
2589	7843	1651200	4.97026103628495E9	6.549834876322177E10
267	1257	1638432	4.921573172611691E9	6.4984555089010155E10
446	1916	1633536	4.873741676534156E9	6.447880766652545E10
2054	6805	1633024	4.826744022906831E9	6.398090911036189E10
189	703	1629696	4.780558480129609E9	6.349066866390386E10
1735	6128	1607168	4.735164075116036E9	6.300790191697793E10
3790	9768	1573664	4.690540560117434E9	6.253243053804583E10
2746	8151	1563136	4.6466683812883415E9	6.206408202006121E10
274	1290	1551616	4.603528648886987E9	6.1602689439175674E10
757	3246	1546752	4.561103109011548E9	6.114809122553184E10
1815	6347	1539008	4.519374116780194E9	6.070013094543599E10
9443	18676	1513472	4.478324610868917E9	6.025865709424869E10
562	2510	1500416	4.437938089327067E9	5.982352289937503E10
1718	6079	1443328	4.398198586596011E9	5.939458613277941E10
1185	4589	1416192	4.359090651661044E9	5.897170893248408E10
2062	6830	1397760	4.3205993272716E9	5.855475763254876E10
652	2764	1394944	4.282710130168798E9	5.8143602601058556E10
1122	4355	1389824	4.2454090322634883E9	5.773811808567875E10
629	2687	1384448	4.2086824427115536E9	5.733818206636287E10
9991	19548	1352448	4.1725171908366003E9	5.69436761148253E10
1568	5617	1327104	4.136900509853404E9	5.6554485260415344E10
2420	7563	1313792	4.1018200213483233E9	5.617049786205056E10
3475	9277	1302784	4.0672637204756966E9	5.579160548588933E10
955	3739	1298432	4.0332199618316693E9	5.541770278844066E10
1405	5104	1291008	3.9996774459694037E9	5.5048687404828865E10
5151	12050	1277952	3.966625206521657E9	5.468445984194616E10
8180	16631	1275648	3.9340525978989115E9	5.432492337624317E10
240	1136	1270528	3.9019492835330167E9	5.396998395592112E10
195	719	1256960	3.8703052246382027E9	5.361955010730392E10
6229	13615	1245952	3.8391106694628854E9	5.3273532845180466E10
1314	4812	1244160	3.808356143007308E9	5.293184558692045E10
919	3633	1240832	3.7780324371834717E9	5.259440407017683E10
577	2529	1236480	3.7481306013951917E9	5.226112627400034E10
5311	12312	1221632	3.71864193351735E9	5.1931932343199356E10
2231	7170	1205016	3.6895579712546363E9	5.1606744515789215E10
5301	12300	1179648	3.6608704838611794E9	5.128548705338321E10
478	2018	1149184	3.63257146420348E9	5.0968086174384964E10
592	2572	1126016	3.604653121150039E9	5.065446998985038E10
827	3378	1122560	3.577107872272043E9	5.0344568441894104E10
1045	4010	1118720	3.5499283368402553E9	5.003831324452224E10
107	224	1114880	3.5231073291041026E9	4.973563782677915E10
1652	5769	1113856	3.496637851839705E9	4.9436477278102234E10
2541	7738	1105920	3.4705130901543007E9	4.914076829578442E10
142	378	1098752	3.4447264055351825E9	4.884844913444878E10
1082	4200	1076992	3.4192713301319027E9	4.855945955744522E10
122	271	1064192	3.3941415612610497E9	4.827374079008305E10
1500	5503	1056768	3.3693309561235766E9	4.799123547461895E10
1569	5619	1056768	3.3448335267249665E9	4.771188762692194E10
1298	4788	1056576	3.320643434989298E9	4.743564259474343E10
869	3491	1055232	3.296754988058472E9	4.716244701752162E10
661	2830	1050368	3.27316263376844E9	4.68922487876543E10
1140	4436	1047296	3.2498609562947235E9	4.662499701317782E10
1292	4780	1022208	3.226844671959729E9	4.636064198179129E10
692	2905	1017856	3.204108625194964E9	4.609913512617024E10
2779	8209	1010432	3.181647784651376E9	4.584042899051462E10
1588	5650	1004544	3.1594572394515634E9	4.558447719828042E10
69	109	985088	3.137532195577749E9	4.5331234421045044E10
2718	8103	975872	3.115867972389841E9	4.508065634846043E10
7228	15290	960256	3.094459999268091E9	4.483269965924895E10
3822	9808	954368	3.0733038123751245E9	4.458732199319957E10
1035	3967	948992	3.052395051532453E9	4.4344481924124245E10
2426	7570	945408	3.031729457206702E9	4.410413893373556E10
566	2514	933120	3.011302867601047E9	4.3866253386408775E10
607	2611	923392	2.991111215847641E9	4.363078650479364E10
2701	8070	920576	2.9711505272968574E9	4.339770034624172E10
220	812	911360	2.9514169168995366E9	4.316695778001802E10
152	549	894040	2.9319065866784325E9	4.293852246526544E10
1600	5669	890880	2.912615823285405E9	4.271235882969393E10
231	855	884736	2.893540995640872E9	4.2488432048965225E10
2425	7569	884736	2.8746785526523595E9	4.2266708026747505E10
555	2500	883792	2.8560250210090375E9	4.204715337541402E10
133	297	879104	2.837577003049275E9	4.182973539736122E10
673	2852	876544	2.819331174698409E9	4.161442206692327E10
1917	6539	876288	2.801284283474033E9	4.14011820128605E10
1598	5666	869632	2.783433146556209E9	4.1189984501400444E10
12453	22849	869120	2.7657746489201617E9	4.098079941981108E10
1038	3996	861440	2.7483057415290804E9	4.077359726048665E10
1617	5696	859648	2.731023439584768E9	4.056834910552714E10
3815	9800	855040	2.713924820833987E9	4.036502661179374E10
219	808	854528	2.697007023928428E9	4.016360199642278E10
4318	10680	851968	2.6802672468363304E9	3.996404802278192E10
2189	7066	851476	2.6637027453038397E9	3.9766337986852425E10
1276	4755	848640	2.647310831364297E9	3.957044570402266E10
1465	5432	831488	2.6310888718937197E9	3.937634549627807E10
4744	11427	823296	2.6150342872107925E9	3.918401217977363E10
5127	12007	819456	2.5991445497197857E9	3.899342105277563E10
396	1767	818944	2.583417182594852E9	3.880454788395968E10
1223	4670	814336	2.567849758504227E9	3.861736890105256E10
11006	20959	796160	2.552439898372942E9	3.8431860779806274E10
351	1653	795904	2.5371852701826634E9	3.824800063329275E10
109	226	792832	2.522083587807393E9	3.806576600150832E10
1749	6167	791808	2.5071326098837404E9	3.788513484127739E10
752	3240	791552	2.492330138714609E9	3.770608551644519E10
4189	10430	788224	2.477674019205112E9	3.752859678835013E10
271	1273	787200	2.4631621378296294E9	3.735264780656596E10
248	1213	786432	2.44879242162894E9	3.717821809990529E10
4188	10429	786432	2.434562837236399E9	3.700528756767531E10
3906	9929	781056	2.4204713899321995E9	3.683383647117791E10
253	1226	779520	2.406516122724735E9	3.666384542544563E10
1604	5674	779264	2.392695115458212E9	3.649529539120638E10
1435	5388	778240	2.379006483945582E9	3.632816766706896E10
4289	10627	774656	2.3654483791259985E9	3.616244388192267E10
1208	4648	764240	2.352018986245948E9	3.59981059875436E10
1878	6461	761088	2.338716524063331E9	3.583513625140191E10
1759	6198	760576	2.3255392440736837E9	3.567351724966248E10
2255	7228	759040	2.3124854297578835E9	3.551323186037413E10
2160	7015	758016	2.299553395850574E9	3.535426325684015E10
2366	7482	758016	2.2867414876287146E9	3.5196594901165665E10
569	2518	754176	2.2740480802195477E9	3.5040210537975426E10
2169	7029	752640	2.261471577927415E9	3.488509418829725E10
8735	17561	746752	2.2490104135787787E9	3.473123014360572E10
1899	6503	745728	2.2366630478849115E9	3.457860296002129E10
2361	7476	744192	2.224427968821681E9	3.442719745266022E10
557	2503	739840	2.2123036910258813E9	3.4276998690130314E10
4344	10722	736768	2.2002887552076354E9	3.412799198916856E10
3363	9105	726016	2.1883817275783243E9	3.3980162909415993E10
1715	6075	725760	2.176581199293594E9	3.383349724832576E10
1078	4193	725248	2.1648857859109654E9	3.3687981036200546E10
1504	5511	725248	2.1532941268616085E9	3.354360053135533E10
3117	8737	723456	2.1418048849358292E9	3.34003422154018E10
1427	5378	717312	2.1304167457818887E9	3.3258192788650932E10
2787	8220	712256	2.119128417417711E9	3.311713916563013E10
415	1836	707840	2.1079386297551258E9	3.2977168470711605E10
789	3304	706304	2.0968461341362445E9	3.283826803384878E10
9665	19029	688640	2.0858497028816428E9	3.2700425386417713E10
4231	10514	681728	2.0749481288499599E9	3.2563628257160282E10
2569	7792	681472	2.0641402250085924E9	3.242786456822611E10
2211	7122	674304	2.0534248240151842E9	3.229312243131107E10
381	1741	668160	2.0428007778095443E9	3.2159390143888676E10
1231	4682	666880	2.032266957215734E9	3.202665618553246E10
2877	8355	662016	2.021822251554004E9	3.189490921432642E10
10357	20115	656384	2.0114655682623022E9	3.176413806336111E10
1312	4808	647168	2.001195832527088E9	3.1634331737313152E10
1880	6467	640768	1.9910119869231544E9	3.1505479409105396E10
2942	8447	640000	1.9809129910622563E9	3.1377570416646194E10
501	2116	639744	1.9708978212502263E9	3.1250594259644817E10
2754	8167	638976	1.9609654701523933E9	3.112454059650149E10
1037	3976	633856	1.951114946467053E9	3.0999399241269867E10
687	2897	622848	1.9413452746067405E9	3.0875160160689644E10
3558	9416	622592	1.9316554943871284E9	3.0751813471287926E10
404	1790	621568	1.9220446607233055E9	3.0629349436547123E10
3841	9829	621568	1.912511843333243E9	3.0507758464137585E10
264	1251	618496	1.903056126448255E9	3.038703110321349E10
147	517	614656	1.8936766085302598E9	3.0267158041770115E10
1607	5677	613120	1.884372401995628E9	3.0148130104060623E10
191	705	612096	1.8751426329454982E9	3.0029938248071484E10
1471	5462	608768	1.8659864409023156E9	2.99125735630541E10
485	2042	606208	1.856902978552469E9	2.979602726711176E10
6495	14041	605184	1.8478914114948623E9	2.968029070484047E10
737	3209	604160	1.8389509179952288E9	2.9565355345021744E10
1431	5384	602368	1.83008068874606E9	2.945121277836655E10
965	3758	598528	1.821279926632014E9	2.933785471530895E10
424	1853	591872	1.812547846500607E9	2.922527298384781E10
3375	9121	591360	1.8038836749381015E9	2.9113459527435852E10
1711	6071	590592	1.7952866500504284E9	2.9002406402914494E10
571	2521	590336	1.786756021249009E9	2.889210577849342E10
3894	9908	581632	1.7782910490413675E9	2.8782549931773804E10
8694	17506	577536	1.7698910048263752E9	2.867373124781378E10
697	2915	576256	1.7615551706940575E9	2.8565642217235733E10
362	1680	574720	1.7532828392297864E9	2.8458275434373474E10
3468	9269	574720	1.745073313322802E9	2.8351623595459244E10
3273	8968	572416	1.7369259059789011E9	2.8245679496848637E10
9376	18566	571392	1.7288399401372347E9	2.814043603328338E10
906	3602	569600	1.7208147484910696E9	2.803588619619031E10
