0	0.0000021662
1	0.0100175311
2	0.0000063008
3	0.0017033250
4	0.0002155051
5	0.0000504376
6	0.0017620696
7	0.0008837934
8	0.0017909949
9	0.0009395698
10	0.0005814436
11	0.0003392647
12	0.0008635004
13	0.0004239523
14	0.0004258009
15	0.0015672142
16	0.0016570681
17	0.0005975809
18	0.4155663892
19	0.0015967711
20	0.0005237349
21	0.0005206216
22	0.0007268695
23	0.0007628031
24	0.0007490829
25	0.0002974926
26	0.0000057224
27	0.0007265223
28	0.3675618153
29	0.0013655456
30	0.0004674460
31	0.0000197835
32	0.0013753911
33	0.0004325410
34	0.0006721250
35	0.0006582079
36	0.0006584822
37	0.0013101199
38	0.0004182712
39	0.0002563815
40	0.0003167508
41	0.0386457955
42	0.0003065450
43	0.0011695152
44	0.0012163225
45	0.0005593870
46	0.0011919093
47	0.0000041699
48	0.0001568556
49	0.0003424375
50	0.0000243449
51	0.0419070664
52	0.0011349416
53	0.0000043912
54	0.0000171754
55	0.0010884173
56	0.0005423323
57	0.0002707911
58	0.0005005154
59	0.0005196959
60	0.0018360690
61	0.0038562331
62	0.0010359048
63	0.0876324856
64	0.0074469308
65	0.0047856663
66	0.0009932042
67	0.0004328854
68	0.0008780356
69	0.0000649489
70	0.0003761517
71	0.2458775462
72	0.0003805041
73	0.0004698253
74	0.0001268079
75	0.0002321292
76	0.0009123971
77	0.0001456432
78	0.0000154259
79	0.0000000000
80	0.0004365166
81	0.0047744417
82	0.0004382562
83	0.0002202220
84	0.2240937009
85	0.0021597046
86	0.0002871639
87	0.0008563735
88	0.0362761319
89	0.0008441565
90	0.0003284171
91	0.0000029180
92	0.0004153275
93	0.0000000000
94	0.0003912567
95	0.0347759555
96	0.0004023808
97	0.0003747210
98	0.0001439602
99	0.0007257205
100	0.0071819899
101	0.0004230206
102	0.0042019613
103	0.0000063354
104	0.0000258620
105	0.0001542362
106	0.1964432635
107	0.0000574688
108	0.0003724655
109	0.0000626143
110	0.0007497143
111	0.0378761332
112	0.0000025788
113	0.0000319642
114	0.0001693975
115	0.0003612833
116	0.0007289454
117	0.0463872240
118	0.0000000000
119	0.0458212985
120	0.0007060978
121	0.0006937710
122	0.0000066993
123	0.0003501711
124	0.0001945845
125	0.0027955336
126	0.2609231758
127	0.0000187764
128	0.0010009368
129	0.0001585139
130	0.0000944966
131	0.0006683100
132	0.0002275255
133	0.0000505897
134	0.0002234434
135	0.0002201661
136	0.0002121096
