0	0	2	100000
1	0	18	51840
2	0	25	100000
3	0	41	2488320
4	0	43	100000
5	0	46	100000
6	0	47	100000
7	0	60	100000
8	0	67	100000
9	0	69	100000
10	0	79	100000
11	0	80	100000
12	0	85	2488320
13	0	91	100000
14	0	95	51840
15	0	99	100000
16	0	100	51840
17	0	103	100000
18	0	109	100000
19	0	125	100000
20	0	126	1244160
21	0	131	100000
22	0	133	100000
23	0	164	100000
24	0	165	2488320
25	0	185	2488320
26	0	187	2488320
27	0	201	100000
28	0	214	2488320
29	0	215	100000
30	0	230	2488320
31	0	253	100000
32	0	256	2488320
33	0	258	100000
34	0	278	100000
35	0	360	100000
36	0	384	100000
37	0	401	100000
38	0	411	100000
39	0	462	466560
40	0	541	100000
41	0	553	100000
42	0	583	466560
43	0	584	100000
44	0	588	51840
45	0	643	100000
46	0	660	100000
47	0	696	100000
48	0	706	100000
49	0	709	51840
50	0	710	51840
51	0	726	100000
52	0	728	100000
53	0	737	100000
54	0	778	100000
55	0	785	2488320
56	0	788	2488320
57	0	798	100000
58	0	818	100000
59	0	840	100000
60	0	841	100000
61	0	868	51840
62	0	869	100000
63	0	870	51840
64	0	871	100000
65	0	878	100000
66	0	881	100000
67	0	888	100000
68	0	893	100000
69	0	905	100000
70	0	912	100000
71	0	933	100000
72	0	940	100000
73	0	941	100000
74	0	943	100000
75	0	947	100000
76	0	950	51840
77	0	954	51840
78	0	1010	100000
79	0	1044	2488320
80	0	1045	100000
81	0	1046	466560
82	0	1071	100000
83	0	1082	100000
84	0	1109	100000
85	0	1120	100000
86	0	1122	100000
87	0	1123	51840
88	0	1140	100000
89	0	1158	2488320
90	0	1163	100000
91	0	1167	100000
92	0	1176	100000
93	0	1185	100000
94	0	1203	100000
95	0	1258	100000
96	0	1348	466560
97	0	1353	100000
98	0	1377	2488320
99	0	1382	100000
100	0	1444	2488320
101	0	1464	100000
102	0	1475	466560
103	0	1504	100000
104	0	1588	100000
105	0	1619	1244160
106	0	1638	100000
107	0	1643	100000
108	0	1648	100000
109	0	1663	100000
110	0	1685	100000
111	0	1705	2488320
112	0	1714	100000
113	0	1718	100000
114	0	1730	100000
115	0	1741	100000
116	0	1743	51840
117	0	1749	100000
118	0	1761	100000
119	0	1781	2488320
120	0	1792	100000
121	0	1793	51840
122	0	1806	100000
123	0	1816	100000
124	0	1817	466560
125	0	1819	51840
126	0	1827	51840
127	0	1837	100000
128	0	1850	100000
129	0	1852	100000
130	0	1865	100000
131	0	1868	100000
132	0	1874	100000
